PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33745886","Proceedings from the Inaugural American Initiative in Mast Cell Diseases (AIM) Investigator Conference","Gotlib J, George TI, Carter MC, Austen KF, Bochner B, Dwyer DF, Lyons JJ, Hamilton MJ, Butterfield J, Bonadonna P, Weiler C, Galli SJ, Schwartz LB, Elberink HO, Maitland A, Theoharides T, Ustun C, Horny HP, Orfao A, Deininger M, Radia D, Jawhar M, Kluin-Nelemans H, Metcalfe DD, Arock M, Sperr WR, Valent P, Castells M, Akin C.","J Allergy Clin Immunol. 2021 Jun;147(6):2043-2052. doi: 10.1016/j.jaci.2021.03.008. Epub 2021 Mar 11.","Gotlib J","J Allergy Clin Immunol","2021","2021/03/22","PMC9521380","NIHMS1697387","10.1016/j.jaci.2021.03.008"
"33560495","Idiopathic Anaphylaxis: a Perplexing Diagnostic Challenge for Allergists","Gulen T, Akin C.","Curr Allergy Asthma Rep. 2021 Feb 9;21(2):11. doi: 10.1007/s11882-021-00988-y.","Gulen T","Curr Allergy Asthma Rep","2021","2021/02/09","PMC7873102","","10.1007/s11882-021-00988-y"
"33535634","A Challenge for Allergologist: Application of Allergy Diagnostic Methods in Mast Cell Disorders","Romantowski J, Górska A, Niedoszytko M, Gulen T, Gruchała-Niedoszytko M, Nedoszytko B, Lange M, Brockow K, Arock M, Akin C, Valent P.","Int J Mol Sci. 2021 Feb 1;22(3):1454. doi: 10.3390/ijms22031454.","Romantowski J","Int J Mol Sci","2021","2021/02/04","PMC7867197","","10.3390/ijms22031454"
"33505688","Carbamazepine-induced Stevens-Johnson syndrome in a patient with history of methotrexate-induced mast cell activation syndrome","Zaalouk TM, Bitar ZI, Maadarani OS, Elhabibi ME.","Clin Case Rep. 2020 Nov 11;9(1):256-259. doi: 10.1002/ccr3.3509. eCollection 2021 Jan.","Zaalouk TM","Clin Case Rep","2020","2021/01/28","PMC7813119","","10.1002/ccr3.3509"
"33261124","Diagnosis, Classification and Management of Mast Cell Activation Syndromes (MCAS) in the Era of Personalized Medicine","Valent P, Akin C, Nedoszytko B, Bonadonna P, Hartmann K, Niedoszytko M, Brockow K, Siebenhaar F, Triggiani M, Arock M, Romantowski J, Górska A, Schwartz LB, Metcalfe DD.","Int J Mol Sci. 2020 Nov 27;21(23):9030. doi: 10.3390/ijms21239030.","Valent P","Int J Mol Sci","2020","2020/12/02","PMC7731385","","10.3390/ijms21239030"
"32983103","Comorbidity of Neurally Mediated Syncope and Allergic Disease in Children","Wang Y, Du J, Jin H, Liao Y.","Front Immunol. 2020 Aug 28;11:1865. doi: 10.3389/fimmu.2020.01865. eCollection 2020.","Wang Y","Front Immunol","2020","2020/09/28","PMC7485378","","10.3389/fimmu.2020.01865"
"32929378","Mast cells as a unique hematopoietic lineage and cell system: From Paul Ehrlich's visions to precision medicine concepts","Valent P, Akin C, Hartmann K, Nilsson G, Reiter A, Hermine O, Sotlar K, Sperr WR, Escribano L, George TI, Kluin-Nelemans HC, Ustun C, Triggiani M, Brockow K, Gotlib J, Orfao A, Kovanen PT, Hadzijusufovic E, Sadovnik I, Horny HP, Arock M, Schwartz LB, Austen KF, Metcalfe DD, Galli SJ.","Theranostics. 2020 Aug 29;10(23):10743-10768. doi: 10.7150/thno.46719. eCollection 2020.","Valent P","Theranostics","2020","2020/09/15","PMC7482799","","10.7150/thno.46719"
"32777817","Hereditary α tryptasemia is a valid genetic biomarker for severe mediator-related symptoms in mastocytosis","Greiner G, Sprinzl B, Górska A, Ratzinger F, Gurbisz M, Witzeneder N, Schmetterer KG, Gisslinger B, Uyanik G, Hadzijusufovic E, Esterbauer H, Gleixner KV, Krauth MT, Pfeilstöcker M, Keil F, Gisslinger H, Nedoszytko B, Niedoszytko M, Sperr WR, Valent P, Hoermann G.","Blood. 2021 Jan 14;137(2):238-247. doi: 10.1182/blood.2020006157.","Greiner G","Blood","2021","2020/08/11","PMC7116780","EMS115078","10.1182/blood.2020006157"
"32561389","Risk and management of patients with mastocytosis and MCAS in the SARS-CoV-2 (COVID-19) pandemic: Expert opinions","Valent P, Akin C, Bonadonna P, Brockow K, Niedoszytko M, Nedoszytko B, Butterfield JH, Alvarez-Twose I, Sotlar K, Schwaab J, Jawhar M, Reiter A, Castells M, Sperr WR, Kluin-Nelemans HC, Hermine O, Gotlib J, Zanotti R, Broesby-Olsen S, Horny HP, Triggiani M, Siebenhaar F, Orfao A, Metcalfe DD, Arock M, Hartmann K.","J Allergy Clin Immunol. 2020 Aug;146(2):300-306. doi: 10.1016/j.jaci.2020.06.009. Epub 2020 Jun 17.","Valent P","J Allergy Clin Immunol","2020","2020/06/21","PMC7297685","","10.1016/j.jaci.2020.06.009"
"32536947","Anaphylaxis to three humanized antibodies for severe asthma: a case study","Jingo K, Harada N, Nishioki T, Torasawa M, Yamada T, Asao T, Takagi H, Takeshige T, Ito J, Takahashi K.","Allergy Asthma Clin Immunol. 2020 Jun 10;16:46. doi: 10.1186/s13223-020-00446-w. eCollection 2020.","Jingo K","Allergy Asthma Clin Immunol","2020","2020/06/16","PMC7288423","","10.1186/s13223-020-00446-w"
"31876203","New developments in the field of mastocytosis and mast cell activation syndromes: a summary of the Annual Meeting of the European Competence Network on Mastocytosis (ECNM) 2019","Arock M, Sotlar K, Gotlib J, Sperr WR, Hartmann K, Schwartz LB, Akin C, Horny HP, Valent P.","Leuk Lymphoma. 2020 May;61(5):1075-1083. doi: 10.1080/10428194.2019.1703974. Epub 2019 Dec 26.","Arock M","Leuk Lymphoma","2020","2019/12/27","PMC7115828","EMS87080","10.1080/10428194.2019.1703974"
"31818306","Idiopathic mast cell activation syndrome and radiation therapy: a case study, literature review, and discussion of mast cell disorders and radiotherapy","Landy RE, Stross WC, May JM, Kaleem TA, Malouff TD, Waddle MR, Vallow LA.","Radiat Oncol. 2019 Dec 9;14(1):222. doi: 10.1186/s13014-019-1434-6.","Landy RE","Radiat Oncol","2019","2019/12/11","PMC6902562","","10.1186/s13014-019-1434-6"
"31802761","The Spectrum of Aggressive Mastocytosis: A Workshop Report and Literature Review","Leguit R, Hebeda K, Kremer M, van der Walt J, Gianelli U, Tzankov A, Orazi A.","Pathobiology. 2020;87(1):2-19. doi: 10.1159/000504099. Epub 2019 Dec 4.","Leguit R","Pathobiology","2020","2019/12/06","PMC7158230","","10.1159/000504099"
"31263355","The role of mast cells in pediatric gastrointestinal disease","Ravanbakhsh N, Kesavan A.","Ann Gastroenterol. 2019 Jul-Aug;32(4):338-345. doi: 10.20524/aog.2019.0378. Epub 2019 Apr 22.","Ravanbakhsh N","Ann Gastroenterol","2019","2019/07/03","PMC6595934","","10.20524/aog.2019.0378"
"31256161","Why the 20% + 2 Tryptase Formula Is a Diagnostic Gold Standard for Severe Systemic Mast Cell Activation and Mast Cell Activation Syndrome","Valent P, Bonadonna P, Hartmann K, Broesby-Olsen S, Brockow K, Butterfield JH, Triggiani M, Lyons JJ, Oude Elberink JNG, Arock M, Metcalfe DD, Akin C.","Int Arch Allergy Immunol. 2019;180(1):44-51. doi: 10.1159/000501079. Epub 2019 Jun 28.","Valent P","Int Arch Allergy Immunol","2019","2019/07/01","PMC7115850","EMS87359","10.1159/000501079"
"31216696","Multidisciplinary Challenges in Mastocytosis and How to Address with Personalized Medicine Approaches","Valent P, Akin C, Gleixner KV, Sperr WR, Reiter A, Arock M, Triggiani M.","Int J Mol Sci. 2019 Jun 18;20(12):2976. doi: 10.3390/ijms20122976.","Valent P","Int J Mol Sci","2019","2019/06/21","PMC6627900","","10.3390/ijms20122976"
"30884251","Recent advances in our understanding of mast cell activation - or should it be mast cell mediator disorders?","Theoharides TC, Tsilioni I, Ren H.","Expert Rev Clin Immunol. 2019 Jun;15(6):639-656. doi: 10.1080/1744666X.2019.1596800. Epub 2019 Apr 22.","Theoharides TC","Expert Rev Clin Immunol","2019","2019/03/19","PMC7003574","NIHMS1035568","10.1080/1744666X.2019.1596800"
"30803469","Fecal Concentrations of N-methylhistamine in Common Marmosets (Callithrix jacchus)","Parambeth JC, López FR, Lopez R, Keyser SB, Lidbury JA, Suchodolski JS, Steiner JM.","Comp Med. 2019 Apr 1;69(2):130-134. doi: 10.30802/AALAS-CM-18-000040. Epub 2019 Feb 25.","Parambeth JC","Comp Med","2019","2019/02/27","PMC6464085","","10.30802/AALAS-CM-18-000040"
"30737190","Proposed Diagnostic Algorithm for Patients with Suspected Mast Cell Activation Syndrome","Valent P, Akin C, Bonadonna P, Hartmann K, Brockow K, Niedoszytko M, Nedoszytko B, Siebenhaar F, Sperr WR, Oude Elberink JNG, Butterfield JH, Alvarez-Twose I, Sotlar K, Reiter A, Kluin-Nelemans HC, Hermine O, Gotlib J, Broesby-Olsen S, Orfao A, Horny HP, Triggiani M, Arock M, Schwartz LB, Metcalfe DD.","J Allergy Clin Immunol Pract. 2019 Apr;7(4):1125-1133.e1. doi: 10.1016/j.jaip.2019.01.006. Epub 2019 Feb 5.","Valent P","J Allergy Clin Immunol Pract","2019","2019/02/10","PMC6643056","NIHMS1518625","10.1016/j.jaip.2019.01.006"
"30418682","Massive release of the histamine-degrading enzyme diamine oxidase during severe anaphylaxis in mastocytosis patients","Boehm T, Reiter B, Ristl R, Petroczi K, Sperr W, Stimpfl T, Valent P, Jilma B.","Allergy. 2019 Mar;74(3):583-593. doi: 10.1111/all.13663. Epub 2019 Jan 1.","Boehm T","Allergy","2019","2018/11/13","PMC6590243","","10.1111/all.13663"
"30416055","The Data Registry of the European Competence Network on Mastocytosis (ECNM): Set Up, Projects, and Perspectives","Valent P, Oude Elberink JNG, Gorska A, Lange M, Zanotti R, van Anrooij B, Bonifacio M, Bonadonna P, Gleixner KV, Hadzijusufovic E, Perkins C, Hartmann K, Illerhaus A, Merante S, Elena C, Shoumariyeh K, von Bubnoff N, Parente R, Triggiani M, Schwaab J, Jawhar M, Caroppo F, Fortina AB, Brockow K, David Fuchs, Greul R, Yavuz AS, Doubek M, Mattsson M, Hagglund H, Panse J, Sabato V, Aberer E, Al-Ali HK, Morren MA, Varkonyi J, Zink A, Niedoszytko M, Niederwieser D, Malcovati L, Reiter A, Kennedy V, Gotlib J, Lortholary O, Hermine O, Arock M, Kluin-Nelemans H, Sperr WR; Study Group of the European Competence Network on Mastocytosis (ECNM).","J Allergy Clin Immunol Pract. 2019 Jan;7(1):81-87. doi: 10.1016/j.jaip.2018.09.024. Epub 2018 Nov 8.","Valent P","J Allergy Clin Immunol Pract","2019","2018/11/13","PMC7115815","EMS87071","10.1016/j.jaip.2018.09.024"
"30263994","Drug desensitization in 17-year-old male with Mast Cell Activation Syndrome, pneumonia, and antibiotic hypersensitivities","Staso P, Leonov A.","AME Case Rep. 2017 Nov 30;1:7. doi: 10.21037/acr.2017.11.03. eCollection 2017.","Staso P","AME Case Rep","2017","2018/09/29","PMC6155670","","10.21037/acr.2017.11.03"
"30007464","Nonclonal Mast Cell Activation Syndrome: A Growing Body of Evidence","Hamilton MJ.","Immunol Allergy Clin North Am. 2018 Aug;38(3):469-481. doi: 10.1016/j.iac.2018.04.002. Epub 2018 Jun 9.","Hamilton MJ","Immunol Allergy Clin North Am","2018","2018/07/16","PMC6049091","NIHMS957864","10.1016/j.iac.2018.04.002"
"30003499","Gastrointestinal Manifestations of Hypereosinophilic Syndromes and Mast Cell Disorders: a Comprehensive Review","Nanagas VC, Kovalszki A.","Clin Rev Allergy Immunol. 2019 Oct;57(2):194-212. doi: 10.1007/s12016-018-8695-y.","Nanagas VC","Clin Rev Allergy Immunol","2019","2018/07/14","","","10.1007/s12016-018-8695-y"
"29951321","Management of a Parturient with Mast Cell Activation Syndrome: An Anesthesiologist's Experience","Kumaraswami S, Farkas G.","Case Rep Anesthesiol. 2018 May 22;2018:8920921. doi: 10.1155/2018/8920921. eCollection 2018.","Kumaraswami S","Case Rep Anesthesiol","2018","2018/06/29","PMC5987329","","10.1155/2018/8920921"
"29950872","Anaphylaxis in the 21st century: phenotypes, endotypes, and biomarkers","Jimenez-Rodriguez TW, Garcia-Neuer M, Alenazy LA, Castells M.","J Asthma Allergy. 2018 Jun 20;11:121-142. doi: 10.2147/JAA.S159411. eCollection 2018.","Jimenez-Rodriguez TW","J Asthma Allergy","2018","2018/06/29","PMC6016596","","10.2147/JAA.S159411"
"29928922","Mast cell activation syndrome: Importance of consensus criteria and call for research","Valent P, Akin C, Bonadonna P, Hartmann K, Broesby-Olsen S, Brockow K, Butterfield JH, Reiter A, Gotlib J, Castells M, Milner JD, Carter MC, Komarow H, Radia D, Pardanani A, Sotlar K, Triggiani M, Horny HP, Arock M, Schwartz LB, Metcalfe DD.","J Allergy Clin Immunol. 2018 Sep;142(3):1008-1010. doi: 10.1016/j.jaci.2018.06.004. Epub 2018 Jun 19.","Valent P","J Allergy Clin Immunol","2018","2018/06/22","PMC7115848","EMS87357","10.1016/j.jaci.2018.06.004"
"29667234","Can H(2) -receptor upregulation and raised histamine explain an anaphylactoid reaction on cessation of ranitidine in a 19-year-old female? A case report","Allen SJ, Chazot PL, Dixon CJ.","Br J Clin Pharmacol. 2018 Jul;84(7):1611-1616. doi: 10.1111/bcp.13578. Epub 2018 Apr 18.","Allen SJ","Br J Clin Pharmacol","2018","2018/04/19","PMC6005605","","10.1111/bcp.13578"
"29650525","Flushing Disorders Associated with Gastrointestinal Symptoms: Part 1, Neuroendocrine Tumors, Mast Cell Disorders and Hyperbasophila","Rastogi V, Singh D, Mazza JJ, Parajuli D, Yale SH.","Clin Med Res. 2018 Jun;16(1-2):16-28. doi: 10.3121/cmr.2017.1379a. Epub 2018 Apr 12.","Rastogi V","Clin Med Res","2018","2018/04/14","PMC6108509","","10.3121/cmr.2017.1379a"
"29637062","Idiopathic Mast Cell Activation Syndrome With Associated Salicylate Intolerance","Rechenauer T, Raithel M, Götze T, Siebenlist G, Rückel A, Baenkler HW, Hartmann A, Haller F, Hoerning A.","Front Pediatr. 2018 Mar 27;6:73. doi: 10.3389/fped.2018.00073. eCollection 2018.","Rechenauer T","Front Pediatr","2018","2018/04/12","PMC5881244","","10.3389/fped.2018.00073"
"29577987","Generalized pruritus relieved by NSAIDs in the setting of mast cell activation syndrome","Kesterson K, Nahmias Z, Brestoff JR, Bodet ND, Kau A, Kim BS.","J Allergy Clin Immunol Pract. 2018 Nov-Dec;6(6):2130-2131. doi: 10.1016/j.jaip.2018.03.002. Epub 2018 Mar 23.","Kesterson K","J Allergy Clin Immunol Pract","2018","2018/03/27","PMC7251497","NIHMS1543467","10.1016/j.jaip.2018.03.002"
"29225779","Risk of solid cancer in patients with mast cell activation syndrome: Results from Germany and USA","Molderings GJ, Zienkiewicz T, Homann J, Menzen M, Afrin LB.","F1000Res. 2017 Oct 26;6:1889. doi: 10.12688/f1000research.12730.1. eCollection 2017.","Molderings GJ","F1000Res","2017","2017/12/12","PMC5710302","","10.12688/f1000research.12730.1"
"28956253","Invited Commentary: Mast Cell Activation","Castells MC.","Curr Allergy Asthma Rep. 2017 Sep 27;17(10):73. doi: 10.1007/s11882-017-0741-y.","Castells MC","Curr Allergy Asthma Rep","2017","2017/09/29","","","10.1007/s11882-017-0741-y"
"28848540","Beyond IgE-When Do IgE-Crosslinking and Effector Cell Activation Lead to Clinical Anaphylaxis?","Poulsen LK, Jensen BM, Esteban V, Garvey LH.","Front Immunol. 2017 Aug 10;8:871. doi: 10.3389/fimmu.2017.00871. eCollection 2017.","Poulsen LK","Front Immunol","2017","2017/08/30","PMC5554325","","10.3389/fimmu.2017.00871"
"28839623","Systemic mastocytosis: a gastroenterological perspective","Philpott H, Gow P, Crowley P, Nandurkar S, Douglass J, Gibson PR.","Frontline Gastroenterol. 2012 Jan;3(1):5-9. doi: 10.1136/flgastro-2011-100013. Epub 2011 Sep 10.","Philpott H","Frontline Gastroenterol","2012","2017/08/26","PMC5517246","","10.1136/flgastro-2011-100013"
"28740494","Insights in Anaphylaxis and Clonal Mast Cell Disorders","González-de-Olano D, Álvarez-Twose I.","Front Immunol. 2017 Jul 10;8:792. doi: 10.3389/fimmu.2017.00792. eCollection 2017.","González-de-Olano D","Front Immunol","2017","2017/07/26","PMC5502410","","10.3389/fimmu.2017.00792"
"28674681","Myalgic Encephalomyelitis/Chronic Fatigue Syndrome Diagnosis and Management in Young People: A Primer","Rowe PC, Underhill RA, Friedman KJ, Gurwitt A, Medow MS, Schwartz MS, Speight N, Stewart JM, Vallings R, Rowe KS.","Front Pediatr. 2017 Jun 19;5:121. doi: 10.3389/fped.2017.00121. eCollection 2017.","Rowe PC","Front Pediatr","2017","2017/07/05","PMC5474682","","10.3389/fped.2017.00121"
"28629749","A distinct biomolecular profile identifies monoclonal mast cell disorders in patients with idiopathic anaphylaxis","Carter MC, Desai A, Komarow HD, Bai Y, Clayton ST, Clark AS, Ruiz-Esteves KN, Long LM, Cantave D, Wilson TM, Scott LM, Simakova O, Jung MY, Hahn J, Maric I, Metcalfe DD.","J Allergy Clin Immunol. 2018 Jan;141(1):180-188.e3. doi: 10.1016/j.jaci.2017.05.036. Epub 2017 Jun 16.","Carter MC","J Allergy Clin Immunol","2018","2017/06/21","PMC6311988","NIHMS893690","10.1016/j.jaci.2017.05.036"
"28386644","Mutational profiling in the peripheral blood leukocytes of patients with systemic mast cell activation syndrome using next-generation sequencing","Altmüller J, Haenisch B, Kawalia A, Menzen M, Nöthen MM, Fier H, Molderings GJ.","Immunogenetics. 2017 Jun;69(6):359-369. doi: 10.1007/s00251-017-0981-y. Epub 2017 Apr 6.","Altmüller J","Immunogenetics","2017","2017/04/08","","","10.1007/s00251-017-0981-y"
"28262205","Characterization of Mast Cell Activation Syndrome","Afrin LB, Self S, Menk J, Lazarchick J.","Am J Med Sci. 2017 Mar;353(3):207-215. doi: 10.1016/j.amjms.2016.12.013. Epub 2016 Dec 16.","Afrin LB","Am J Med Sci","2017","2017/03/07","PMC5341697","NIHMS837183","10.1016/j.amjms.2016.12.013"
"27927825","An update on mast cell disorders","Cookson H, Grattan C.","Clin Med (Lond). 2016 Dec;16(6):580-583. doi: 10.7861/clinmedicine.16-6-580.","Cookson H","Clin Med (Lond)","2016","2016/12/09","PMC6297339","","10.7861/clinmedicine.16-6-580"
"27132234","Pharmacological treatment options for mast cell activation disease","Molderings GJ, Haenisch B, Brettner S, Homann J, Menzen M, Dumoulin FL, Panse J, Butterfield J, Afrin LB.","Naunyn Schmiedebergs Arch Pharmacol. 2016 Jul;389(7):671-94. doi: 10.1007/s00210-016-1247-1. Epub 2016 Apr 30.","Molderings GJ","Naunyn Schmiedebergs Arch Pharmacol","2016","2016/05/02","PMC4903110","","10.1007/s00210-016-1247-1"
"26492872","A New Image Analysis Method Based on Morphometric and Fractal Parameters for Rapid Evaluation of In Situ Mammalian Mast Cell Status","Wedman P, Aladhami A, Beste M, Edwards MK, Chumanevich A, Fuseler JW, Oskeritzian CA.","Microsc Microanal. 2015 Dec;21(6):1573-1581. doi: 10.1017/S1431927615015342. Epub 2015 Oct 23.","Wedman P","Microsc Microanal","2015","2015/10/24","PMC10127439","NIHMS1880786","10.1017/S1431927615015342"
"26067933","Detection of the KIT D816V mutation in peripheral blood of systemic mastocytosis: diagnostic implications","Jara-Acevedo M, Teodosio C, Sanchez-Muñoz L, Álvarez-Twose I, Mayado A, Caldas C, Matito A, Morgado JM, Muñoz-González JI, Escribano L, Garcia-Montero AC, Orfao A.","Mod Pathol. 2015 Aug;28(8):1138-49. doi: 10.1038/modpathol.2015.72. Epub 2015 Jun 12.","Jara-Acevedo M","Mod Pathol","2015","2015/06/13","","","10.1038/modpathol.2015.72"
"25944644","Mast Cell Activation Syndrome","Frieri M.","Clin Rev Allergy Immunol. 2018 Jun;54(3):353-365. doi: 10.1007/s12016-015-8487-6.","Frieri M","Clin Rev Allergy Immunol","2018","2015/05/07","","","10.1007/s12016-015-8487-6"
"25755909","Long-lasting complete response to imatinib in a patient with systemic mastocytosis exhibiting wild type KIT","Valent P, Cerny-Reiterer S, Hoermann G, Sperr WR, Müllauer L, Mannhalter C, Pehamberger H.","Am J Blood Res. 2014 Dec 15;4(2):93-100. eCollection 2014.","Valent P","Am J Blood Res","2014","2015/03/11","PMC4351647","",""
